activity_index,br,hr,infrared_perf,sleep_classes,temp,time
10,14.0574698096633,54.1396617115859,1742,0,3541,1485384131
12,14.0602931797679,54.1790250321994,1758,0,3542,1485384141
13,14.0644108600166,54.0708458715085,1778,0,3545,1485384151
12,14.0687493916971,53.4352824442483,1788,0,3548,1485384161
12,14.0737562958077,52.7075714020848,1772,0,3550,1485384171
10,14.0796533678489,52.3936913727912,1749,0,3558,1485384181
11,14.085682298108,53.183561463627,1750,0,3559,1485384191
11,14.0929142256445,53.9333529172054,1756,0,3560,1485384201
10,14.1003671138464,53.6476018642759,1762,0,3561,1485384211
11,14.1086069663538,53.3215516698706,1811,0,3562,1485384221
11,14.117894930901,53.5175803267934,1833,0,3562,1485384231
12,14.1273986905382,54.1620455729918,1838,0,3563,1485384241
11,14.138871238262,54.4609978869065,1830,0,3563,1485384251
13,14.1519239664308,53.8440178285939,1829,0,3564,1485384262
12,14.1647471252653,53.4208048016072,1833,0,3563,1485384272
11,14.1786286438785,53.2083742708734,1829,0,3563,1485384282
10,14.1927283466838,53.033928993702,1824,0,3564,1485384292
10,14.2077277132531,53.1582789793172,1823,1,3564,1485384302
11,14.2227993916128,53.6797725421508,1829,1,3564,1485384312
11,14.2376741554318,54.5389455985342,1844,1,3564,1485384322
